plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw
8031,Emery Station,2023,IA,2898339.0,2403.9624746,3905.6573340600003,1501.69485946,19,Closed,RI,1,NG,43.094,-93.292222,6A,A,Cold,0.1383025,58.9,36.8,47.8,313.8059884881969,602.8
8031,Emery Station,2021,IA,1944548.0,1852.201113,1852.201113,0.0,17,Closed,RI,1,NG,43.094,-93.292222,6A,A,Cold,0.1383025,58.7,36.6,47.7,297.7589300870434,602.8
8031,Emery Station,2024,IA,2357353.0,2017.0746455500002,3310.52653009,1282.0956545400002,20,Closed,RI,1,NG,43.094,-93.292222,6A,A,Cold,0.1383025,60.5,38.1,49.3,263.1998697098873,602.8
8031,Emery Station,2022,IA,1787050.0,2476.2751618300003,2476.2751618300003,0.0,18,Closed,RI,1,NG,43.094,-93.292222,6A,A,Cold,0.1383025,55.2,33.4,44.3,278.79820189993904,602.8
55748,Los Esteros Critical Energy Center,2024,CA,233318.0,271.035356,330.466293,59.809478000000006,11,Closed,RI,2,NG,37.425,-121.9319,3C,C,Marine,1.509648074,74.7,53.2,63.9,177.1685916233332,306.1
55748,Los Esteros Critical Energy Center,2022,CA,180099.0,238.859371,284.66283200000004,45.803461,9,Closed,RI,2,NG,37.425,-121.9319,3C,C,Marine,1.509648074,73.0,50.3,61.6,175.26246227243382,306.1
55748,Los Esteros Critical Energy Center,2023,CA,179539.0,215.389829,264.9787,50.345953,10,Closed,RI,2,NG,37.425,-121.9319,3C,C,Marine,1.509648074,71.5,51.0,61.2,196.1989634429307,306.1
55748,Los Esteros Critical Energy Center,2021,CA,303113.0,337.280031,397.089509,60.56656,8,Closed,RI,2,NG,37.425,-121.9319,3C,C,Marine,1.509648074,71.5,50.2,60.8,180.6069952463169,306.1
990,Harding Street,2024,IN,3654402.0,14221.68316393,176435.49579809,162213.82399039,66,Open,ON,3,NG,39.711319,-86.196867,4A,A,Mixed-Humid,0.256390105,66.2,47.6,56.9,1742.718631370045,1064.7
990,Harding Street,2023,IN,2899758.999,9416.207375,137195.750253,127780.29996,65,Open,ON,3,NG,39.711319,-86.196867,4A,A,Mixed-Humid,0.256390105,65.7,46.6,56.1,1963.8256245239822,1064.7
