plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw,predicted_ceiling_75,predicted_ceiling_90,excess_pct_75,excess_pct_90,overconsumer_75,overconsumer_90,excess_ratio,risk_score
6257,Scherer,2024,GA,7033942.953,21180.451577260003,51938.55448061,31874.79885335,42,Closed,RN,3,SUB,33.0606,-83.8075,3A,A,Mixed-Humid,0.230909114,78.0,53.6,65.8,1374.658807445936,3564.0,19975.866233665518,28783.39073342845,0.06030203293834564,-0.2641432771622193,True,False,0.0,0.0
6257,Scherer,2022,GA,7301783.979,32387.96796,52598.27195,20225.44563,40,Closed,RN,4,SUB,33.0606,-83.8075,3A,A,Mixed-Humid,0.230909114,78.3,53.5,65.9,1802.497765144944,3564.0,24472.501925532888,35651.29579005457,0.3234432694520977,-0.09153462048818216,True,False,0.0,0.0
59906,Moxie Freedom Generation Plant,2024,PA,7915249.0,0.0,0.0,0.0,6,Dry-Hybrid,DC,2,NG,41.113056,-76.158056,5A,A,Cold,0.176300101,63.1,44.1,53.6,1028.33184868683,1058.0,367.79960067951373,1412.4281435617459,-1.0,-1.0,False,False,0.0,0.0
59906,Moxie Freedom Generation Plant,2021,PA,7252858.0,0.0,0.0,0.0,3,Dry-Hybrid,DC,2,NG,41.113056,-76.158056,5A,A,Cold,0.176300101,62.1,44.0,53.0,1188.6384207251313,1058.0,356.20121140733136,1360.5614950772606,-1.0,-1.0,False,False,0.0,0.0
59906,Moxie Freedom Generation Plant,2023,PA,7042515.0,0.0,0.0,0.0,5,Dry-Hybrid,DC,2,NG,41.113056,-76.158056,5A,A,Cold,0.176300101,62.8,43.8,53.3,1089.5722832110791,1058.0,343.50275134489567,1328.8147270276197,-1.0,-1.0,False,False,0.0,0.0
59906,Moxie Freedom Generation Plant,2022,PA,4453231.0,0.0,0.0,0.0,4,Dry-Hybrid,DC,2,NG,41.113056,-76.158056,5A,A,Cold,0.176300101,62.0,,,1135.816208083482,1058.0,,,,,,,0.0,0.0
7845,Lagoon Creek,2023,TN,3417626.0,2418.87699,3081.3237400000003,666.23216,13,Closed,RI,1,NG,35.6578,-89.3964,3A,A,Mixed-Humid,0.201660476,72.8,49.7,61.3,526.167690152781,1625.2,3137.6656228457014,4228.10175210402,-0.2290838856798886,-0.42790473554797964,False,False,0.0,0.0
7845,Lagoon Creek,2024,TN,3499636.0,2899.62406,3221.38391,310.40362,14,Closed,RI,1,NG,35.6578,-89.3964,3A,A,Mixed-Humid,0.201660476,74.1,52.4,63.3,1125.6762030615305,1625.2,3632.77834572653,4784.531989005082,-0.2018164104586745,-0.3939586846397151,False,False,0.0,0.0
7845,Lagoon Creek,2021,TN,3015109.005,2305.31469,2460.5165,147.63099,11,Closed,RI,1,NG,35.6578,-89.3964,3A,A,Mixed-Humid,0.201660476,71.1,49.5,60.3,957.3029783372972,1625.2,3111.776729887011,4102.02478865462,-0.25916449343597137,-0.43800566579313727,False,False,0.0,0.0
7845,Lagoon Creek,2022,TN,4098705.005,3020.75718,3149.46112,136.27476,12,Closed,RI,1,NG,35.6578,-89.3964,3A,A,Mixed-Humid,0.201660476,71.5,47.7,59.6,964.348603740159,1625.2,3799.75134584706,4796.484498283761,-0.20501187971114526,-0.3702143348777917,False,False,0.0,0.0
3576,Ray Olinger,2024,TX,40394.0,35.35951481,197783.95522738,197748.59571257,57,Open,ON,3,NG,33.068055,-96.452481,3A,A,Hot-Humid,1.107253721,79.8,60.4,70.1,777.322845056421,427.7,2862.253283006495,2145.9371178418983,-0.9876462663105557,-0.9835225764464339,False,False,0.0,0.0
3576,Ray Olinger,2021,TX,65840.0,36.10902599,159196.87114744,159160.76212145,54,Open,ON,3,NG,33.068055,-96.452481,3A,A,Hot-Humid,1.107253721,77.6,58.6,68.1,920.352768757704,427.7,4005.9668892291006,2757.2331878060295,-0.9909861896045404,-0.9869038911363414,False,False,0.0,0.0
